Week,others,B.1.617.1-like,Alpha (B.1.1.7-like),Delta (B.1.617.2-like),Beta (B.1.351-like),B.1.617.3-like,Eta (B.1.525-like),Delta (AY.4-like),Probable Omicron (BA.1-like)
26-07-2020,5,0,0,0,0,0,0,0,0
16-08-2020,3,1,0,0,0,0,0,0,0
23-08-2020,7,0,0,0,0,0,0,0,0
30-08-2020,5,1,0,0,0,0,0,0,0
06-09-2020,13,1,0,0,0,0,0,0,0
13-09-2020,11,3,0,0,0,0,0,0,0
20-09-2020,12,0,0,0,0,0,0,0,0
27-09-2020,12,0,0,0,0,0,0,0,0
04-10-2020,10,0,0,0,0,0,0,0,0
11-10-2020,6,0,0,0,0,0,0,0,0
18-10-2020,5,0,0,0,0,0,0,0,0
01-11-2020,2,0,0,0,0,0,0,0,0
08-11-2020,6,0,0,0,0,0,0,0,0
15-11-2020,8,0,0,0,0,0,0,0,0
22-11-2020,6,0,0,0,0,0,0,0,0
29-11-2020,9,0,0,0,0,0,0,0,0
06-12-2020,5,0,1,0,0,0,0,0,0
13-12-2020,5,0,0,0,0,0,0,0,0
20-12-2020,7,0,0,0,0,0,0,0,0
27-12-2020,4,0,0,0,0,0,0,0,0
03-01-2021,46,0,0,1,0,0,0,0,0
10-01-2021,51,0,1,3,0,0,0,0,0
17-01-2021,85,2,0,2,1,0,0,0,0
24-01-2021,34,1,0,0,0,0,0,0,0
31-01-2021,37,0,1,1,0,0,0,0,0
07-02-2021,36,0,0,0,0,0,0,0,0
14-02-2021,17,0,0,0,0,0,0,0,0
21-02-2021,9,1,0,0,0,0,0,0,0
28-02-2021,7,2,0,0,0,0,0,0,0
07-03-2021,14,37,0,9,0,0,0,0,0
14-03-2021,6,11,2,2,0,1,0,0,0
21-03-2021,5,41,3,26,0,3,0,0,0
28-03-2021,9,15,0,40,0,0,1,0,0
04-04-2021,4,7,1,9,0,0,0,0,0
11-04-2021,3,16,2,16,0,0,0,0,0
18-04-2021,2,8,0,31,0,0,0,0,0
25-04-2021,1,3,0,20,0,0,0,0,0
02-05-2021,3,6,0,40,0,0,0,0,0
09-05-2021,2,1,1,22,0,0,0,0,0
16-05-2021,0,1,0,19,0,0,0,0,0
23-05-2021,1,0,0,8,0,0,0,0,0
30-05-2021,3,3,0,1,0,0,0,0,0
06-06-2021,3,0,0,29,0,0,0,0,0
13-06-2021,0,0,0,10,0,0,0,0,0
20-06-2021,0,0,0,32,0,0,0,0,0
27-06-2021,1,0,0,12,0,0,0,0,0
04-07-2021,0,1,0,30,0,0,0,0,0
11-07-2021,0,0,0,33,0,0,0,0,0
18-07-2021,0,1,0,20,0,0,0,0,0
25-07-2021,0,0,0,45,0,0,0,0,0
01-08-2021,0,0,0,36,0,0,0,0,0
08-08-2021,4,5,0,107,0,0,0,0,0
15-08-2021,12,2,0,97,0,0,0,0,0
22-08-2021,14,0,0,97,0,0,0,0,0
29-08-2021,2,0,0,55,0,0,0,0,0
05-09-2021,4,8,0,91,0,0,0,0,0
12-09-2021,1,2,0,13,0,0,0,0,0
19-09-2021,6,0,0,85,0,0,0,1,0
26-09-2021,1,0,0,48,0,0,0,0,0
03-10-2021,6,0,0,12,0,0,0,1,0
10-10-2021,4,0,0,8,0,0,0,0,0
17-10-2021,0,0,0,6,0,0,0,0,0
21-11-2021,0,0,0,1,0,0,0,0,0
28-11-2021,0,0,0,11,0,0,0,0,1
