Week,District,others,B.1.617.1-like,Alpha (B.1.1.7-like),Delta (B.1.617.2-like),Beta (B.1.351-like),B.1.617.3-like,Eta (B.1.525-like),Delta (AY.4-like),Probable Omicron (BA.1-like)
7/26/2020,Hyderabad,5,0,0,0,0,0,0,0,0
8/16/2020,Hyderabad,2,0,0,0,0,0,0,0,0
8/23/2020,Hyderabad,7,0,0,0,0,0,0,0,0
8/30/2020,Hyderabad,5,0,0,0,0,0,0,0,0
9/6/2020,Hyderabad,11,0,0,0,0,0,0,0,0
9/13/2020,Hyderabad,11,0,0,0,0,0,0,0,0
9/20/2020,Hyderabad,12,0,0,0,0,0,0,0,0
9/27/2020,Hyderabad,12,0,0,0,0,0,0,0,0
10/4/2020,Hyderabad,10,0,0,0,0,0,0,0,0
10/11/2020,Hyderabad,6,0,0,0,0,0,0,0,0
10/18/2020,Hyderabad,5,0,0,0,0,0,0,0,0
11/1/2020,Hyderabad,2,0,0,0,0,0,0,0,0
11/8/2020,Hyderabad,6,0,0,0,0,0,0,0,0
11/15/2020,Hyderabad,8,0,0,0,0,0,0,0,0
11/22/2020,Hyderabad,6,0,0,0,0,0,0,0,0
11/29/2020,Hyderabad,9,0,0,0,0,0,0,0,0
12/6/2020,Hyderabad,5,0,1,0,0,0,0,0,0
12/13/2020,Hyderabad,4,0,0,0,0,0,0,0,0
12/20/2020,Hyderabad,7,0,0,0,0,0,0,0,0
12/27/2020,Hyderabad,3,0,0,0,0,0,0,0,0
1/3/2021,Hyderabad,46,0,0,0,0,0,0,0,0
1/10/2021,Hyderabad,50,0,1,2,0,0,0,0,0
1/17/2021,Hyderabad,85,2,0,2,1,0,0,0,0
1/24/2021,Hyderabad,34,1,0,0,0,0,0,0,0
1/31/2021,Hyderabad,37,0,1,0,0,0,0,0,0
2/7/2021,Hyderabad,36,0,0,0,0,0,0,0,0
2/14/2021,Hyderabad,17,0,0,0,0,0,0,0,0
2/21/2021,Hyderabad,9,0,0,0,0,0,0,0,0
2/28/2021,Hyderabad,7,0,0,0,0,0,0,0,0
3/7/2021,Hyderabad,4,0,0,0,0,0,0,0,0
3/14/2021,Hyderabad,2,1,0,0,0,1,0,0,0
3/21/2021,Hyderabad,2,10,0,0,0,0,0,0,0
3/28/2021,Hyderabad,1,7,0,1,0,0,1,0,0
4/4/2021,Hyderabad,3,5,0,1,0,0,0,0,0
4/11/2021,Hyderabad,3,13,2,11,0,0,0,0,0
4/18/2021,Hyderabad,1,7,0,16,0,0,0,0,0
4/25/2021,Hyderabad,0,3,0,1,0,0,0,0,0
5/2/2021,Hyderabad,1,6,0,23,0,0,0,0,0
5/9/2021,Hyderabad,1,1,1,21,0,0,0,0,0
5/16/2021,Hyderabad,0,1,0,13,0,0,0,0,0
5/23/2021,Hyderabad,0,0,0,3,0,0,0,0,0
6/6/2021,Hyderabad,3,0,0,7,0,0,0,0,0
6/13/2021,Hyderabad,0,0,0,9,0,0,0,0,0
6/20/2021,Hyderabad,0,0,0,5,0,0,0,0,0
6/27/2021,Hyderabad,0,0,0,7,0,0,0,0,0
7/4/2021,Hyderabad,0,0,0,4,0,0,0,0,0
7/11/2021,Hyderabad,0,0,0,4,0,0,0,0,0
7/18/2021,Hyderabad,0,0,0,6,0,0,0,0,0
7/25/2021,Hyderabad,0,0,0,12,0,0,0,0,0
8/1/2021,Hyderabad,0,0,0,5,0,0,0,0,0
8/8/2021,Hyderabad,0,0,0,5,0,0,0,0,0
8/15/2021,Hyderabad,2,0,0,4,0,0,0,0,0
8/22/2021,Hyderabad,0,0,0,2,0,0,0,0,0
9/5/2021,Hyderabad,1,0,0,4,0,0,0,0,0
9/12/2021,Hyderabad,0,0,0,6,0,0,0,0,0
9/19/2021,Hyderabad,3,0,0,15,0,0,0,1,0
9/26/2021,Hyderabad,0,0,0,2,0,0,0,0,0
10/3/2021,Hyderabad,6,0,0,8,0,0,0,1,0
10/10/2021,Hyderabad,4,0,0,8,0,0,0,0,0
10/17/2021,Hyderabad,0,0,0,6,0,0,0,0,0
